Date,Close/Last,Volume,Open,High,Low
03/28/2023,11716.08,--,11752.76,11752.76,11635.03
03/27/2023,11768.84,--,11868.54,11903.21,11739.05
03/24/2023,11823.96,--,11747.62,11826.23,11670.67
03/23/2023,11787.40,--,11811.32,11962.69,11684.52
03/22/2023,11669.96,--,11857.50,12013.99,11666.85
03/21/2023,11860.11,--,11764.79,11879.16,11724.91
03/20/2023,11675.54,--,11614.39,11695.55,11550.69
03/17/2023,11630.51,--,11696.34,11773.11,11562.63
03/16/2023,11717.28,--,11384.87,11733.80,11365.49
03/15/2023,11434.05,--,11397.35,11447.90,11238.44
03/14/2023,11428.15,--,11357.73,11467.02,11284.93
03/13/2023,11188.84,--,11041.46,11326.73,10982.80
03/10/2023,11138.89,--,11325.36,11373.81,11093.86
03/09/2023,11338.35,--,11578.31,11667.12,11319.98
03/08/2023,11576.00,--,11553.09,11601.23,11487.75
03/07/2023,11530.33,--,11670.98,11705.96,11512.03
03/06/2023,11675.74,--,11736.87,11827.92,11667.48
03/03/2023,11689.01,--,11524.65,11699.63,11514.74
03/02/2023,11462.98,--,11273.77,11487.59,11273.61
03/01/2023,11379.48,--,11447.58,11479.00,11349.87
02/28/2023,11455.54,--,11451.05,11548.23,11435.39
02/27/2023,11466.98,--,11517.19,11565.23,11444.60
02/24/2023,11394.94,--,11404.18,11434.36,11334.47
02/23/2023,11590.40,--,11636.93,11638.98,11432.58
02/22/2023,11507.07,--,11517.20,11582.52,11445.17
02/21/2023,11492.30,--,11640.37,11684.14,11491.18
02/17/2023,11787.27,--,11777.50,11803.22,11673.21
02/16/2023,11855.83,--,11896.31,12040.34,11853.36
02/15/2023,12070.59,--,11905.12,12071.29,11876.82
02/14/2023,11960.15,--,11808.20,11999.85,11760.56
02/13/2023,11891.79,--,11759.09,11910.92,11719.73
02/10/2023,11718.12,--,11714.60,11775.80,11630.54
02/09/2023,11789.58,--,12069.10,12070.96,11745.11
02/08/2023,11910.52,--,12069.12,12096.39,11890.09
02/07/2023,12113.79,--,11891.25,12150.22,11836.78
02/06/2023,11887.45,--,11904.41,11973.41,11843.49
02/03/2023,12006.95,--,11946.86,12231.31,11946.86
02/02/2023,12200.82,--,12065.15,12269.55,12024.14
02/01/2023,11816.32,--,11573.14,11904.02,11500.33
01/31/2023,11584.55,--,11398.58,11586.01,11398.37
01/30/2023,11393.81,--,11512.34,11553.31,11388.54
01/27/2023,11621.71,--,11470.47,11691.89,11470.27
01/26/2023,11512.41,--,11458.40,11516.05,11341.19
01/25/2023,11313.36,--,11146.53,11334.22,11069.18
01/24/2023,11334.27,--,11302.93,11378.15,11282.65
01/23/2023,11364.41,--,11171.94,11405.50,11144.03
01/20/2023,11140.43,--,10924.66,11143.17,10885.65
01/19/2023,10852.27,--,10890.40,10932.52,10804.57
01/18/2023,10957.01,--,11170.95,11223.41,10952.05
01/17/2023,11095.11,--,11070.00,11145.44,11024.72
01/13/2023,11079.16,--,10906.37,11084.01,10900.16
01/12/2023,11001.10,--,10969.26,11027.75,10797.12
01/11/2023,10931.67,--,10794.99,10932.44,10762.73
01/10/2023,10742.63,--,10607.72,10743.67,10589.59
01/09/2023,10635.65,--,10662.10,10807.26,10619.12
01/06/2023,10569.29,--,10363.96,10604.14,10265.04
01/05/2023,10305.24,--,10390.31,10393.22,10295.25
